store_name,franchisee_id
Mulund East,1
Shreenagar,1
Pantnagar,1
Rajawadi,1
JB Nagar,1
Malad,1
Khanda Colony,1
Hari Om Nagar,1
Mira Road,1
Sanpada,1
Kalyan,1
Saibaba Nagar,1
Wayale Nagar,1
Nalasopara West,1
JJ Hospital,1
Bandra,1
Bhayander 60 Feet Road,1
Old Panvel,1
Vashi Sector 11,1
Kalina,1
Mulund Panch Rasta,1
Tilak Road Pune,1
Virar West,1
Ambernath East,1
Dhayari Pune,1
Mulund West-Sarvodaya Nagar,1
Warje Pune,1
Vile Parle,1
Thergaon,1
Bhekrainagar Pune,1
Gulab Nagar Pune,1
Doshi Medical,34
ABM Pharmacy & Healthcare,47
Sion Koliwada,1
Kalyan West Club Road,1
Hiltron Ulhasnagar,1
Mharal Ulhasnagar,1
Mahavir Pride Dombivali,1
Chinchwad,1
Roadpali Kalamboli,1
Kasarvadavali Thane,1
Fursungi Pune,1
Lower Parel - SJ Marg,1
Ulhas Nagar - Shahad,1
Ulhasnagar - Humlog Circle,1
Sakinaka - Pipeline Road,1
Jail Road Nashik,1
Bytco Point Nashik,1
Khutwad Nagar Nashik,1
Bhandup West,1
Nahur West,1
Yashodhan,1
Tilaknagar,1
Kalwa,1
Kandivali East,1
Evershine Nagar,1
Malwani,1
Mira Road Jangid Complex,1
Bhiwandi - Shivaji Chowk,1
Dombivali,1
Marol,1
Dombivli West,1
Virar East,1
Malad Liberty Garden,1
Kalyan East-Tisgaon Naka,1
Santa Cruz SV Road,1
Versova Andheri,1
Ghodapdeo - Byculla,1
Vakola,1
NIBM Kondwa,1
Ashokvan Dahisar,1
Dadar East,1
Pimple Gurav,1
Nerul West,1
Shivaji Nagar Pune,1
Dattnagar,1
Navi Peth Pune,1
Quality Care,27
Goregaon West S.V. Road,1
Ghatkopar West,1
Katrap Badlapur East,1
Shirgaon Badlapur,1
Khadki Pune,1
Jagruti Nagar Ghatkopar,1
Shanti Nagar Mira Road,1
Versova - Yari Road,1
Kalyan - DB Chowk,1
Kamothe - Sector 36,1
Dombivali - Reti Bunder,1
Mira Road - GCC Club Road,1
Vasai West - Station Road,1
Chinchwad - Gandhi Peth,1
Trimurti Chowk Nashik,1
Mulund West,1
Veenanagar,1
Khopat,1
Naupada,1
Chembur,1
Kolsheth,1
Kurla,1
Airoli,1
Ghansoli,1
Kurla West,1
Vashi,1
Seawoods,1
New Panvel,1
Charkop,1
Kharghar,1
Bhayandar,1
IC Colony Borivali,1
Ulhasnagar,1
Airoli Sector - 3,1
Vijay Nagari - Thane,1
Kharghar Sector 12,1
Bhiwandi Dhamankar Naka,1
Mahim West,1
Wanawadi Pune,1
Ambernath West,1
Bibwewadi Pune,1
Narhe Pune,1
7 Rasta Byculla,1
Khar West,1
Dhanakwadi,1
Dhanori Pune,1
Fam Society - Koperkhairne,1
Mundhwa Pune,1
Gujrat Colony Kothrud,1
Aura Medical Titwala East,6
Morye Pharma,17
Care Point Chemist,32
Health Care Chemist & Druggist,43
Vikhroli Kannamwar,1
Titwala,1
Global City Virar West,1
Kopari Thane,1
Shriprastha Nalasopara West,1
Koper Khairane - Sector 7,1
Ulhas Nagar - Shreeram Chowk,1
Nalasopara - Yashwant Nagar,1
Badlapur - Belavali,1
Dombivali - Navpada,1
Ulhasnagar - Khemani Chowk,1
Airoli Sec 5,1
Mhasrul Nashik,1
Mahakali,1
Goregaon,1
Vikhroli,1
Thakur Complex,1
Kopar Khairane,1
Kamotha,1
Dahisar,1
Yogi Nagar,1
Kandivali West,1
Hiranandani Thane,1
Ulwe-Navi Mumbai,1
Govandi,1
Prabhadevi,1
Navjeevan Mumbai Central,1
Ulhasnagar Sector 4,1
Colaba,1
CST Bora Bazaar,1
Badlapur East,1
Nerul East,1
Sasane Nagar Pune,1
Kalamboli,1
Phadke Road - Dombivali,1
Wadgaon Sheri,1
Ambegaon Pune,1
Wadgaon Budruk Pune,1
Dighi Pune,1
Health Care Forever,40
Kuber Chemist,44
Shambhuraj Enterprises LLP,46
Sector 3 - New Panvel,1
"Santoshi Mata Road, Kalyan West",1
Ghatkopar East,1
Kalher Bhiwandi,1
Kulgaon Badlapur West,1
Navare Nagar Ambernath,1
Chandivali,1
Panchpakhadi,1
Mohan Nagar Kandivali,1
Jay VIjay Nagar Nalasopara East,1
Pragati Nagar Nalasopara East,1
Palegaon Ambernath,1
Yogidham Kalyan,1
Rupee Nagar Pune,1
Wadgaon Sheri-Old Mundhwa Rd,1
Panvel - Uran Naka,1
Canada Corner Nashik,1
Cidco Nashik,1
Koper Khairane - Sector 2,1
